X0(39) | 3 | '3.1.31.1' | [ -1358/27, -8843/27, -7234/27 ] | '3.1.31.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.31.1' | [ -186849990, -241376760, 754792533 ] | '3.1.31.1' | \N | \N |[]
X0(39) | 3 | '3.1.331.1' | [ 506785202211047333854830918557/67108864, 34461181272373211008043990569/67108864, 154885532385149700408332083211/67108864 ] | '3.1.331.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.31.1' | [ -1646410915725012, -766521558209385, -1123391944324746 ] | '3.1.31.1' | \N | \N |[]
X0(39) | 3 | '3.1.31.1' | [ -231074/3, -29903/3, 542351/3 ] | '3.1.31.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.499.1' | [ -726746083628989493600026729/33198531813531453579264, -829438684400007986630863505/5533088635588575596544, 8952179299761118137672129251/33198531813531453579264 ] | '3.1.499.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.499.1' | [ 291120049439153/1649267441664, -56606743608007/549755813888, -557990037892627/1649267441664 ] | '3.1.499.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.31.1' | [ -30132, -14823, -20871 ] | '3.1.31.1' | \N | \N |[]
X0(39) | 3 | '3.1.31.1' | [ -322824492375361610306007410/4052555153018976267, -150313676351617147974952478/4052555153018976267, -220281320449122217192087621/4052555153018976267 ] | '3.1.31.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.331.1' | [ 601700247274637/64, 40915364533081/64, 183893812806299/64 ] | '3.1.331.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.31.1' | [ -2155520390678663797685774596346/1594323, -1003548283623757789077445082519/1594323, -1470771494278286892076810260430/1594323 ] | '3.1.31.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.31.1' | [ 19674, -72180, 66321 ] | '3.1.31.1' | \N | \N |[]
X0(39) | 3 | '3.1.76.1' | [ -4324207/4, -3772873/2, -34526001/32 ] | '3.1.76.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.499.1' | [ -481270438169039262534596537/438244169232678912, -48525307522490698659641821/292162779488452608, -216120589363056591923947981/876488338465357824 ] | '3.1.499.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.379.1' | [ 3941163/4, -2767419/4, 290439/4 ] | '3.1.379.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.331.1' | [ 4151562548678468191437824250925/302231454903657293676544, 427529206776663008256999851129/302231454903657293676544, 1454185235831553123191960242171/302231454903657293676544 ] | '3.1.331.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.379.1' | [ -548339445/64, -177541659/64, -239066649/64 ] | '3.1.379.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.76.1' | [ 100, -328, -1329/2 ] | '3.1.76.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ 9307/6, 115/6, 2381/6 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ -446580445042565640341/64925062108545024, 311476202902418906707/64925062108545024, 5236502997779760254279/64925062108545024 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.244.1' | [ 16332054839/13122, -13934498401/2187, 45029180699/13122 ] | '3.1.244.1' | 'No' | 0 |[]
